Sample Id,MecA_read_Counts,MecA_Coverage,Staph_read_Counts,Staph_Coverage,CC_8_8,CC_239_239,CC_1_1,CC_5_5,CC_8_8_2,CC_5_5_2,MLST_93,CC_5_5_3,CC_59_59,CC_30_36,CC_8_72,CC_8_8_3,CC_151_151,CC_8_254,CC_398_398,CC_30_30,CC_75_1850,CC_5_5_4,CC_133_133,CC_1021,CC_121,CC_123,CC_130,CC_15,CC_20,CC_2198,CC_22,CC_2361,CC_291,CC_425,CC_45,CC_49,CC_50,CC_522,CC_700,CC_779,CC_78,CC_80,CC_97,CC_9
SRR1749345,0,0,3598,0.126491038,0,0,0,0,0,0,0.004066332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285329945,0,0,0,0,0,0,0,0.022473061,0,0.003423681,0,0,0.68470698,0,0,0
SRR1749347,0,0,2291,0.080542237,0,0,0,0,0,0,0.012405609,0,0,0,0,0,0.116504854,0,0,0.246494067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067961165,0,0.155339806,0,0,0,0,0.401294498
SRR1749361,0,0,8622,0.303114433,0,0,0.083673075,0,0,0,0,0,0,0.664104403,0.058020298,0,0,0,0,0,0,0.021890433,0,0,0,0,0,0.047767402,0.032892373,0,0,0,0,0,0,0,0,0,0,0,0,0.020516651,0,0.071135365
SRR1749362,0,0,1374,0.048304248,0,0,0,0,0,0,0,0,0,0,0.83493831,0,0,0,0.075779526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089282163,0,0,0,0,0,0,0,0,0
SRR1749366,0,0,3827,0.134541746,0,0,0,0,0,0,0,0,0,0,0,0.097201245,0.050639625,0,0,0.525556904,0.082761386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24384084,0,0,0,0,0
SRR1749369,0,0,849,0.029847385,0,0,0,0,0,0,0,0,0,0,0.013733532,0,0,0,0.972649928,0,0,0,0,0,0,0,0,0,0,0,0,0.01361654,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749374,0,0,5307,0.186572523,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749375,0,0,11540,0.405699438,0,0,0,0,0,0,0.004526085,0,0,0,0,0,0.013544013,0,0.054868662,0,0,0,0,0,0,0.010606508,0,0,0.001144015,0.001145799,0.016938468,0.009656313,0,0,0.858653308,0.002458106,0.014068141,0.012390582,0,0,0,0,0,0
SRR1749377,0,0,2215,0.077870386,0,0,0,0,0,0.237922334,0,0,0,0,0,0,0,0.61157266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056848379,0,0,0,0.093656627,0
SRR1749383,0,0,2377,0.083565647,0,0,0,0,0,0,0,0,0,0.981775701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018224299,0,0,0,0,0,0,0,0,0,0,0
SRR1749440,0,0,1274,0.044788655,0,0,0,0,0,0,0,0,0,0.335444877,0,0,0,0,0,0,0.073807171,0,0,0,0.341779508,0,0,0,0,0,0.248968443,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749465,0,0,5150,0.181053042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749483,0,0,4853,0.170611731,0,0,0,0,0,0,0,0,0,0.978594155,0,0,0.006187711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010171253,0,0,0,0,0,0,0,0,0,0,0.005046882
SRR1749488,0,0,913,0.032097365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015143603,0,0,0,0,0,0,0,0,0,0,0,0,0.205744125,0,0,0,0,0,0.205744125,0.411488251,0.161879896,0,0
SRR1749526,0,0,836,0.029390358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749533,0,0,3313,0.116471598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986066113,0.013933887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749545,0,0,101854,3.580772143,0.992165025,0,0.001661347,0,0,0.001993117,0.000471979,0,0.00013481,0,0.00020456,0,0,0,0,0.000288583,0,0,0,0,0,0.000170156,0,0.000544969,0,0.0004384,0.000314654,0,0,0,0,0,0.000266711,0,0,0.000742953,0.000602738,0,0,0
SRR1749549,0,0,2780,0.097733487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12183037,0,0.570970563,0,0,0,0,0,0,0,0,0,0,0,0.307199067,0,0,0,0,0,0,0,0,0
SRR1749551,0,0,5588,0.19645134,0,0.010918499,0.11028948,0,0,0,0,0,0,0,0.169238654,0,0.005379641,0,0,0,0,0,0,0,0,0,0,0.038090539,0.047847461,0,0.01924947,0,0,0,0,0,0,0,0,0.117814075,0.219597711,0.016851322,0.090273836,0.154449313
SRR1749554,0,0,5068,0.178170256,0,0,0.206264706,0,0,0,0,0,0,0,0.10896203,0,0,0,0,0,0,0,0.014033102,0,0,0,0,0,0.096966461,0,0.012897855,0,0,0,0,0,0,0.000571557,0,0.128282496,0.097389866,0.162022212,0,0.172609715
SRR1749556,0,0,2187,0.07688602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001668726,0,0,0,0,0,0.043188885,0.158988416,0,0,0,0,0,0,0.756335032,0.039818941,0,0,0,0,0,0,0,0
SRR1749558,0,0,1295,0.04552693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131908632,0,0,0,0,0,0,0,0,0,0,0.208586882,0.152410056,0,0,0.507094431
SRR1749560,0,0,13758,0.483675292,0,0,0,0,0,0,0.025230865,0,0,0,0.717585214,0,0,0,0.107869746,0,0.002104202,0,0,0,0,0,0,0,0,0,0.133692996,0,0,0.008651551,0.004865427,0,0,0,0,0,0,0,0,0
SRR1749571,0,0,54570,1.918459126,0.145089165,0,0,0,0,0,0,0,0,0,0,0,0.078521958,0,0,0.126886377,0.120331004,0,0,0,0,0,0,0,0,0.093773935,0.222706883,0,0,0,0,0,0.212690678,0,0,0,0,0,0,0
SRR1749572,0,0,2863,0.100651429,0,0,0,0,0,0,0.00304414,0,0,0,0.99695586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749586,0,0,2093,0.073581362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0,0,0.965517241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749651,0,0,733,0.025769297,0.080318379,0,0.169319826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00397974,0.746382055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749668,0,0,1040,0.036562168,0,0,0,0,0,0,0,0.158349328,0,0.062380038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050863724,0,0,0,0,0,0.72840691,0,0,0,0,0,0,0,0,0
SRR1749671,0,0,1063,0.037370754,0.87009165,0,0,0,0,0,0,0,0,0,0,0,0.019877843,0,0,0,0,0,0.026365331,0,0,0,0,0,0,0,0.083665175,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749703,0,0,893,0.031394246,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749704,0,0,1050,0.036913727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SRR1749736,0,0,8987,0.315946347,0,0,0,0,0,0,0,0,0,0.977545465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00632205,0,0.005544301,0,0,0,0.002688646,0,0,0,0,0,0,0.007899538
SRR1749806,0,0,1721,0.060503356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749816,0,0,2228,0.078327413,0,0,0.994071785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004683739,0,0,0.001244476,0,0,0,0,0,0,0,0,0
SRR1749823,0,0,2088,0.073405583,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749837,0,0,943,0.033152042,0.002486789,0,0,0,0,0,0,0,0,0.997513211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749892,0,0,18291,0.643037124,0,0,0,0,0,0,0,0,0,0,0,0,0.335181015,0,0,0,0.26571973,0,0,0,0,0.175645245,0,0,0,0,0.22345401,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749904,0,0,1180,0.041483998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749907,0,0,7985,0.280720105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00232843,0,0,0,0,0,0,0,0,0,0.853522539,0,0.024246341,0,0,0,0,0,0,0,0,0,0.11990269,0,0,0
SRR1749909,0,0,41708,1.466283548,0,0,0,0,0,0,0.001153495,0,0,0,0,0,0,0,0,0,0.000193558,0.013640158,0,0.001787625,0,0,0,0,0,0,0.002954793,0,0,0,0.000305118,0.001158674,0.000509958,0.0000717,0,0.016561099,0.942531368,0,0.019132481,0
SRR1749913,0,0,1834,0.064475976,0,0,0,0.288292471,0,0,0,0,0,0,0.535022378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000849524,0,0,0,0,0,0,0,0,0,0,0.056234306,0.119601321,0
SRR1749919,0,0,1713,0.060222109,0,0,0,0,0,0,0.124935846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059865093,0.175526065,0.075482073,0,0,0,0,0,0.564190923,0,0
SRR1749930,0,0,1179,0.041448842,0,0,0,0,0,0,0,0,0,0,0.432253688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567746312
SRR1749937,0,0,3768,0.132467546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509218046,0,0.000533303,0,0,0,0,0,0,0.490248651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749976,0,0,4105,0.144315095,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0
SRR1750033,0,0,3412,0.119952035,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1750037,0,0,801,0.0281599,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1750088,0,0,6789,0.238673612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0.695652174,0,0,0,0,0,0,0,0,0.01863354,0,0,0,0,0,0,0,0,0
SRR1748744,0,0,1384,0.048655808,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0.961538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
