Sample Id,MecA_read_Counts,MecA_Coverage,Staph_read_Counts,Staph_Coverage,CC_8_8,CC_239_239,CC_1_1,CC_5_5,CC_8_8_2,CC_5_5_2,MLST_93,CC_5_5_3,CC_59_59,CC_30_36,CC_8_72,CC_8_8_3,CC_151_151,CC_8_254,CC_398_398,CC_30_30,CC_75_1850,CC_5_5_4,CC_133_133,CC_1021,CC_121,CC_123,CC_130,CC_15,CC_20,CC_2198,CC_22,CC_2361,CC_291,CC_425,CC_45,CC_49,CC_50,CC_522,CC_700,CC_779,CC_78,CC_80,CC_97,CC_9
SRR1749059,3,0.150971599,3069,0.107893551,0,0,0,0,0,0,0,0.906862745,0,0,0,0,0,0,0,0,0,0,0,0,0.049019608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044117647,0,0,0,0,0
SRR1748568,2,0.100647733,2516,0.088452321,0,0,0,0,0,0,0,0,0,0,0.892744479,0,0,0,0.107255521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749013,2,0.100647733,2483,0.087292175,0.059008394,0,0,0,0,0,0,0,0,0,0,0,0.059197202,0,0,0.542989192,0.074521082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115803882,0.148480247,0,0,0,0,0
SRR1749016,2,0.100647733,7631,0.268274906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000909624,0,0,0,0,0,0,0,0.334747104,0,0,0,0,0,0.189104528,0,0,0,0,0.244926772,0.230311972,0,0,0
SRR1749022,2,0.100647733,2904,0.102092822,0,0,0,0,0,0,0,0,0,0,0,0,0.133758979,0,0,0,0.157615677,0,0,0,0,0.190234992,0.095117496,0,0,0,0.214014366,0,0,0,0,0,0.114140995,0,0.095117496,0,0,0,0,0
SRR1749049,2,0.100647733,1424,0.050062045,0,0,0,0,0,0.17611192,0,0,0,0,0.411526258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076115308,0,0,0,0.336246514,0
SRR1749178,2,0.100647733,2651,0.093198372,0,0,0,0,0,0,0,0,0,0,0.979608511,0,0.002097776,0,0,0,0,0.013355444,0,0.002659854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002278415,0,0,0,0,0
SRR1749886,2,0.100647733,2570,0.090350741,0,0,0,0,0,0.01919909,0,0,0,0,0,0,0,0,0,0.268787265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077321166,0,0,0.06939079,0,0.168520489,0,0,0.3967812,0,0
SRR1749961,2,0.100647733,5345,0.187908448,0,0,0,0,0,0.374269006,0,0,0,0,0,0,0.111111111,0,0,0,0.070175439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0
SRR1750044,2,0.100647733,718,0.025241958,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748831,1,0.050323866,895,0.031464558,0,0,0,0,0,0.211903598,0,0,0,0,0,0,0,0.085548495,0,0,0.018435663,0,0,0,0,0,0,0,0.579990224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104122019
SRR1748925,1,0.050323866,978,0.0343825,0,0,0,0,0,0,0,0.816373083,0,0,0.09393901,0,0,0,0,0,0.002234997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08745291,0,0,0,0,0
SRR1748928,1,0.050323866,2361,0.083003152,0.467746812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255908885,0,0.157209091,0,0,0,0,0.067479716,0,0.051655496
SRR1748960,1,0.050323866,7227,0.25407191,0,0,0,0,0,0,0,0,0,0,0,0,0.023580953,0,0.04673501,0,0,0,0,0,0,0,0,0,0,0,0.014697638,0,0.897163419,0,0.011651385,0,0.006171596,0,0,0,0,0,0,0
SRR1748967,1,0.050323866,6454,0.226896375,0,0,0,0,0,0,0,0,0,0.022391326,0,0,0,0.356531735,0,0,0.040845348,0,0,0,0,0,0.087590861,0,0,0,0,0,0,0.075904482,0.416736248,0,0,0,0,0,0,0,0,0
SRR1749255,1,0.050323866,9624,0.338340675,0,0,0,0,0,0,0,0,0,0,0,0,0.05768972,0,0,0.147286522,0.22532304,0,0,0,0,0,0.043236746,0,0,0,0.184656285,0,0,0.152932774,0.069027565,0,0.053540029,0,0.066307319,0,0,0,0,0
SRR1749815,1,0.050323866,26661,0.937292262,0,0,0,0,0,0,0.011219753,0,0,0,0,0,0,0,0,0,0.000124665,0,0,0,0,0,0,0,0.407516431,0.002150361,0.131995438,0,0,0,0,0,0,0,0,0,0,0.446993352,0,0
SRR1749966,1,0.050323866,72633,2.553480698,0.956583639,0,0,0,0,0,0,0,0.001001121,0,0.010523669,0,0,0,0,0,0.000185222,0,0,0,0,0,0,0,0.011188409,0,0.002816366,0,0,0,0,0,0,0,0,0,0.009021102,0,0,0.008680471
SRR1749981,1,0.050323866,12167,0.427742206,0,0,0,0,0,0,0.131492135,0,0,0,0,0,0,0,0,0.150056757,0.012850283,0,0,0,0,0.029538239,0,0,0,0.250268862,0.344299941,0,0,0,0,0,0,0.081493783,0,0,0,0,0,0
SRR1748544,0,0,883,0.031042687,0.063016529,0,0,0,0,0,0,0,0,0.936983471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748547,0,0,784,0.027562249,0,0,0,0,0,0,0.004793422,0,0,0.663674204,0,0,0,0,0,0.327577341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003955033,0,0,0,0,0,0
SRR1748556,0,0,992,0.034874683,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748558,0,0,893,0.031394246,0,0,0,0,0,0,0,0.934823508,0,0,0,0,0,0,0,0,0,0,0,0,0.043988533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021187959,0,0,0,0,0
SRR1748560,0,0,786,0.027632561,0,0,0,0,0,0,0,0.019839756,0,0,0.980160244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748566,0,0,1597,0.056144021,0,0.008848924,0,0,0,0,0,0,0,0.987909679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002456765,0,0.000784632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748611,0,0,1144,0.040218384,0,0,0,0,0,0.94042355,0,0,0,0,0,0,0,0,0,0,0.01059032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04898613,0,0,0,0,0,0,0,0
SRR1748619,0,0,1239,0.043558198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005056714,0,0,0,0,0,0,0,0.367385925,0,0,0,0,0,0,0,0,0,0,0.237528106,0,0.390029256,0,0
SRR1748628,0,0,1422,0.049991733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792298462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207701538,0,0,0,0,0
